Player,Nation,Pos,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,onxG,onxGA,Matches
Willian Pacho,ec ECU,DF,52,"4,133",79,78.3,45.9,45,88,39,7,24,3,2.34,117,41,99.3,40.3,Matches
Achraf Hakimi,ma MAR,DF,48,"4,102",85,77.7,45.6,46,88,40,2,31,2,2.42,118,37,100.2,38.2,Matches
Vitinha,pt POR,MF,52,"3,927",76,74.4,43.6,40,89,36,12,30,2,2.34,109,40,91.0,39.1,Matches
João Neves,pt POR,MF,52,"3,776",73,71.5,42.0,44,82,24,8,21,4,2.37,113,41,86.1,38.5,Matches
Bradley Barcola,fr FRA,FW,58,"3,655",63,69.2,40.6,44,74,12,14,28,0,2.36,106,36,89.5,30.3,Matches
Nuno Mendes,pt POR,DF,46,"3,572",78,67.7,39.7,39,86,30,7,30,4,2.26,93,35,81.5,31.5,Matches
Gianluigi Donnarumma,it ITA,GK,40,"3,561",89,67.4,39.6,40,89,39,0,,8,2.33,100,39,95.7,35.3,Matches
Marquinhos,br BRA,DF,42,"3,554",85,67.3,39.5,39,89,35,3,25,6,2.24,96,35,83.2,33.2,Matches
Fabián Ruiz Peña,es ESP,MF,54,"3,477",64,65.9,38.6,40,79,20,14,22,2,2.32,94,37,79.7,36.5,Matches
Ousmane Dembélé,fr FRA,FW,49,"3,307",67,62.6,36.7,37,81,15,12,27,2,2.37,97,31,78.4,31.0,Matches
Désiré Doué,fr FRA,FW,54,"3,012",56,57.0,33.5,33,74,7,21,28,2,2.41,93,33,66.6,26.3,Matches
Warren Zaïre-Emery,fr FRA,MF,48,"2,986",62,56.6,33.2,32,81,19,16,24,2,2.29,80,33,66.5,26.1,Matches
Lucas Beraldo,br BRA,DF,33,"2,453",74,46.5,27.3,26,88,23,7,23,23,2.64,77,29,61.1,23.1,Matches
Lee Kang-in,kr KOR,"FW,MF",45,"2,397",53,45.4,26.6,26,73,7,19,27,9,2.38,60,29,55.1,21.4,Matches
Khvicha Kvaratskhelia,ge GEO,FW,25,"1,8",72,34.7,20.0,21,81,9,4,24,3,2.48,51,15,41.8,19.3,Matches
Gonçalo Ramos,pt POR,FW,41,"1,675",41,31.7,18.6,16,74,7,25,20,1,2.46,58,18,38.6,13.1,Matches
Matvei Safonov,ru RUS,GK,17,"1,539",91,29.1,17.1,16,92,16,1,69,40,2.41,44,13,27.1,13.5,Matches
Lucas Hernández,fr FRA,DF,25,"1,221",49,23.1,13.6,14,72,6,11,20,14,2.80,44,14,29.3,12.3,Matches
Senny Mayulu,fr FRA,MF,29,"1,083",37,20.5,12.0,11,77,5,18,13,22,2.52,39,11,30.0,8.3,Matches
Marco Asensio,es ESP,FW,16,753,47,14.3,8.4,10,68,2,6,13,12,2.13,20,6,23.2,7.3,Matches
Randal Kolo Muani,fr FRA,FW,14,465,33,10.1,5.2,2,68,1,12,28,5,2.00,11,8,13.9,3.6,Matches
Milan Škriniar,sk SVK,"DF,MF",5,382,76,8.3,4.2,4,90,4,1,22,15,3.00,14,6,11.4,6.3,Matches
Ibrahim Mbaye,fr FRA,FW,10,354,35,6.8,3.9,4,71,2,6,12,18,2.70,12,5,8.9,3.1,Matches
Yoram Zague,fr FRA,DF,6,273,46,5.2,3.0,4,51,0,2,34,27,3.00,4,4,3.6,1.4,Matches
Axel Tapé,fr FRA,MF,3,251,84,4.8,2.8,3,84,2,0,,7,2.00,7,5,3.4,1.4,Matches
Arnau Tenas,es ESP,GK,2,180,90,3.5,2.0,2,90,2,0,,31,3.00,8,3,1.7,0.6,Matches
Presnel Kimpembe,fr FRA,DF,5,81,16,1.6,0.9,0,,0,5,16,23,3.00,5,0,1.2,0.3,Matches
Noham Kamara,fr FRA,DF,2,76,38,2.5,0.8,0,,0,2,38,1,1.50,2,1,1.1,0.8,Matches
Louis Mouquet,pt POR,GK,0,,,,,0,,0,0,,8,,,,,,Matches
Naoufel El Hannach,ma MAR,DF,0,,,,,0,,0,0,,4,,,,,,Matches
Carlos Soler,es ESP,MF,0,,,,,0,,0,0,,1,,,,,,Matches
Quentin Ndjantou Mbitcha,fr FRA,FW,0,,,,,0,,0,0,,1,,,,,,Matches
Wassim Slama,fr FRA,MF,0,,,,,0,,0,0,,1,,,,,,Matches