Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Willian Pacho,ec ECU,DF,22,45.9,3128,3070,55,34,1,5,0,12,0,0,0,0,2936,3,12,Matches
Achraf Hakimi,ma MAR,DF,25,45.6,3513,3185,322,50,3,15,138,268,4,0,1,0,3085,6,66,Matches
Vitinha,pt POR,MF,24,43.6,3812,3670,138,112,17,44,46,14,8,2,3,0,3544,4,36,Matches
João Neves,pt POR,MF,19,42.0,2670,2538,127,55,14,25,19,59,0,0,0,0,2440,5,23,Matches
Bradley Barcola,fr FRA,FW,21,40.6,1312,1280,27,6,9,2,41,17,3,0,0,0,1075,5,33,Matches
Nuno Mendes,pt POR,DF,22,39.7,2627,2330,288,46,5,49,128,226,16,8,6,0,2242,9,51,Matches
Gianluigi Donnarumma,it ITA,GK,25,39.6,1074,824,249,70,0,0,0,0,0,0,0,0,893,1,0,Matches
Marquinhos,br BRA,DF,30,39.5,3000,2937,60,40,6,23,4,18,0,0,0,0,2838,3,7,Matches
Fabián Ruiz Peña,es ESP,MF,28,38.6,2317,2248,65,40,14,20,41,18,4,0,0,0,2067,4,34,Matches
Ousmane Dembélé,fr FRA,FW,27,36.7,1717,1566,141,12,25,11,158,4,94,21,30,0,1340,10,57,Matches
Désiré Doué,fr FRA,FW,19,33.5,1484,1405,75,14,11,9,124,27,26,8,7,1,1216,4,29,Matches
Warren Zaïre-Emery,fr FRA,MF,18,33.2,2061,1977,81,17,2,21,15,61,0,0,0,0,1889,3,34,Matches
Lucas Beraldo,br BRA,DF,20,27.3,2260,2193,61,32,1,10,3,28,0,0,0,0,2137,6,7,Matches
Lee Kang-in,kr KOR,"FW,MF",23,26.6,1607,1446,154,20,16,15,138,10,111,32,40,0,1402,7,20,Matches
Khvicha Kvaratskhelia,ge GEO,FW,23,20.0,869,806,60,11,9,5,53,6,42,8,15,0,738,3,20,Matches
Gonçalo Ramos,pt POR,FW,23,18.6,289,283,4,2,2,0,1,1,0,0,0,0,226,2,8,Matches
Matvei Safonov,ru RUS,GK,25,17.1,371,298,72,14,0,0,0,0,0,0,0,0,287,1,1,Matches
Lucas Hernández,fr FRA,DF,28,13.6,993,906,87,16,1,6,2,70,0,0,0,0,907,0,9,Matches
Senny Mayulu,fr FRA,MF,18,12.0,482,449,31,7,0,4,21,13,4,2,0,0,421,2,14,Matches
Marco Asensio,es ESP,FW,28,8.4,377,350,25,2,4,1,16,3,9,2,1,0,325,2,8,Matches
Randal Kolo Muani,fr FRA,FW,25,5.2,98,93,5,0,3,1,0,0,0,0,0,0,69,0,3,Matches
Milan Škriniar,sk SVK,"DF,MF",29,4.2,374,360,14,8,0,2,0,1,0,0,0,0,361,0,0,Matches
Ibrahim Mbaye,fr FRA,FW,16,3.9,148,147,0,0,0,0,6,0,0,0,0,0,128,1,2,Matches
Yoram Zague,fr FRA,DF,18,3.0,183,168,15,0,0,0,7,15,0,0,0,0,172,0,2,Matches
Axel Tapé,fr FRA,MF,16,2.8,151,148,3,2,0,0,0,1,0,0,0,0,142,0,2,Matches
Arnau Tenas,es ESP,GK,23,2.0,32,29,3,1,0,0,0,0,0,0,0,0,31,0,0,Matches
Presnel Kimpembe,fr FRA,DF,28,0.9,37,36,1,1,0,0,0,0,0,0,0,0,37,0,0,Matches
Noham Kamara,fr FRA,DF,17,0.8,79,74,5,0,1,0,0,5,0,0,0,0,74,0,0,Matches