Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Willian Pacho,ec ECU,DF,22,52,45,"4,133",45.9,0,2,2,0,0,0,2,0,0.3,0.3,0.5,0.8,6,89,3,0.00,0.04,0.04,0.00,0.04,0.01,0.01,0.02,0.01,0.02,Matches
Achraf Hakimi,ma MAR,DF,25,48,46,"4,102",45.6,9,12,21,9,0,0,7,0,6.1,6.1,10.8,16.9,168,293,434,0.20,0.26,0.46,0.20,0.46,0.15,0.27,0.43,0.15,0.43,Matches
Vitinha,pt POR,MF,24,52,40,"3,927",43.6,7,3,10,4,3,4,1,0,5.7,2.6,4.7,7.3,77,327,78,0.16,0.07,0.23,0.09,0.16,0.15,0.12,0.27,0.07,0.19,Matches
João Neves,pt POR,MF,19,52,44,"3,776",42.0,5,9,14,5,0,0,4,0,5.1,5.1,5.7,10.8,57,234,112,0.12,0.21,0.33,0.12,0.33,0.14,0.16,0.30,0.14,0.30,Matches
Bradley Barcola,fr FRA,FW,21,58,44,"3,655",40.6,21,18,39,21,0,0,4,0,19.5,19.5,13.9,33.3,198,121,551,0.52,0.44,0.96,0.52,0.96,0.54,0.38,0.92,0.54,0.92,Matches
Nuno Mendes,pt POR,DF,22,46,39,"3,572",39.7,5,5,10,5,0,0,8,0,4.4,4.4,6.3,10.6,100,225,155,0.13,0.13,0.25,0.13,0.25,0.13,0.18,0.31,0.13,0.31,Matches
Gianluigi Donnarumma,it ITA,GK,25,40,40,"3,561",39.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marquinhos,br BRA,DF,30,42,39,"3,554",39.5,3,0,3,3,0,0,7,0,1.8,1.8,1.4,3.2,36,238,5,0.08,0.00,0.08,0.08,0.08,0.05,0.04,0.09,0.05,0.09,Matches
Fabián Ruiz Peña,es ESP,MF,28,54,40,"3,477",38.6,5,10,15,5,0,0,3,0,5.4,5.4,6.9,12.3,65,274,135,0.13,0.26,0.39,0.13,0.39,0.16,0.20,0.36,0.16,0.36,Matches
Ousmane Dembélé,fr FRA,FW,27,49,37,"3,307",36.7,33,13,46,32,1,1,3,1,24.7,23.9,11.9,35.8,216,224,390,0.90,0.35,1.25,0.87,1.22,0.78,0.38,1.15,0.75,1.13,Matches
Désiré Doué,fr FRA,FW,19,54,33,"3,012",33.5,15,14,29,15,0,0,2,0,7.8,7.8,10.4,18.2,149,166,296,0.45,0.42,0.87,0.45,0.87,0.29,0.38,0.67,0.29,0.67,Matches
Warren Zaïre-Emery,fr FRA,MF,18,48,32,"2,986",33.2,3,2,5,3,0,0,3,0,2.9,2.9,1.8,4.7,64,179,113,0.09,0.06,0.15,0.09,0.15,0.10,0.06,0.16,0.10,0.16,Matches
Lucas Beraldo,br BRA,DF,20,33,26,"2,453",27.3,1,0,1,1,0,0,7,0,1.0,1.0,0.4,1.4,10,137,0,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches
Lee Kang-in,kr KOR,"FW,MF",23,45,26,"2,397",26.6,6,6,12,6,0,0,1,0,3.9,3.9,7.3,11.2,69,182,194,0.23,0.23,0.45,0.23,0.45,0.17,0.31,0.48,0.17,0.48,Matches
Khvicha Kvaratskhelia,ge GEO,FW,23,25,21,"1,8",20.0,7,5,12,7,0,0,1,0,5.3,5.3,6.4,11.7,104,69,196,0.35,0.25,0.60,0.35,0.60,0.29,0.35,0.64,0.29,0.64,Matches
Gonçalo Ramos,pt POR,FW,23,41,16,"1,675",18.6,18,6,24,14,4,5,2,0,16.3,14.0,3.0,16.9,14,26,68,0.97,0.32,1.29,0.75,01.07,1.15,0.21,1.36,0.98,1.19,Matches
Matvei Safonov,ru RUS,GK,25,17,16,"1,539",17.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Hernández,fr FRA,DF,28,25,14,"1,221",13.6,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,57,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
Senny Mayulu,fr FRA,MF,18,29,11,"1,083",12.0,5,3,8,5,0,0,2,0,3.2,3.2,2.1,5.2,30,49,59,0.42,0.25,0.66,0.42,0.66,0.33,0.22,0.55,0.33,0.55,Matches
Marco Asensio,es ESP,FW,28,16,10,753,8.4,2,4,6,2,0,0,0,0,5.8,5.8,2.8,8.6,22,38,56,0.24,0.48,0.72,0.24,0.72,0.69,0.34,01.02,0.69,01.02,Matches
Randal Kolo Muani,fr FRA,FW,25,14,2,465,5.2,2,1,3,1,1,1,0,0,5.5,4.7,1.2,5.9,10,9,48,0.39,0.19,0.58,0.19,0.39,01.07,0.23,1.30,0.92,1.14,Matches
Milan Škriniar,sk SVK,"DF,MF",29,5,4,382,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,20,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Ibrahim Mbaye,fr FRA,FW,16,10,4,354,3.9,1,1,2,1,0,0,0,0,1.8,1.8,1.1,2.9,15,9,54,0.25,0.25,0.51,0.25,0.51,0.48,0.30,0.78,0.48,0.78,Matches
Yoram Zague,fr FRA,DF,18,6,4,273,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,5,10,17,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Axel Tapé,fr FRA,MF,16,3,3,251,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,5,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
Arnau Tenas,es ESP,GK,23,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.50,0.50,0.00,0.50,0.00,0.21,0.21,0.00,0.21,Matches
Presnel Kimpembe,fr FRA,DF,28,5,0,81,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Noham Kamara,fr FRA,DF,17,2,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Louis Mouquet,pt POR,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Naoufel El Hannach,ma MAR,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Carlos Soler,es ESP,MF,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Quentin Ndjantou Mbitcha,fr FRA,FW,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wassim Slama,fr FRA,MF,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches