,,,,,,Performance,,,,,,,,,,,,Expected,,,SCA,,Passes,,,,Carries,,Take-Ons,
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Ousmane Dembélé,10,fr FRA,"FW,RW",27-280,59,0,0,0,0,2,0,0,0,55,1,0,0,0.1,0.1,0.2,8,0,35,44,79.5,13,38,3,6,3
Désiré Doué,14,fr FRA,"LM,RM",19-261,31,1,1,0,0,2,2,0,0,22,1,0,1,0.4,0.4,0.1,1,1,12,15,80.0,2,13,1,3,1
Bradley Barcola,29,fr FRA,LW,22-170,59,1,1,0,0,5,2,0,0,39,0,2,4,0.8,0.8,0.2,4,2,21,23,91.3,3,22,5,5,3
Gonçalo Ramos,9,pt POR,FW,23-244,31,1,1,0,0,1,1,0,0,8,1,0,0,0.1,0.1,0.4,3,2,5,6,83.3,0,3,1,2,1
Khvicha Kvaratskhelia,7,ge GEO,"RW,LW,FW",24-007,90,1,1,0,0,2,1,0,0,63,2,0,0,0.2,0.2,0.3,4,2,42,52,80.8,6,38,5,8,6
Fabián Ruiz Peña,8,es ESP,LM,28-322,59,0,2,0,0,3,0,0,0,59,1,1,0,0.2,0.2,0.6,4,2,46,53,86.8,5,36,2,0,0
Lee Kang-in,19,kr KOR,RW,24-000,31,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,3,2,32,34,94.1,6,26,1,0,0
Vitinha,17,pt POR,CM,25-006,90,1,0,0,0,2,1,0,0,85,1,1,0,0.2,0.2,0.0,2,0,78,82,95.1,9,55,2,1,1
João Neves,87,pt POR,"RM,LM",20-145,71,0,0,0,0,1,0,0,0,72,1,0,0,0.1,0.1,0.2,2,0,63,68,92.6,6,41,0,1,1
Senny Mayulu,24,fr FRA,RM,18-278,19,1,0,0,0,1,1,0,0,13,1,0,0,0.2,0.2,0.0,0,0,8,8,100.0,0,7,1,1,0
Nuno Mendes,25,pt POR,LB,22-245,90,1,0,0,0,1,1,0,0,94,0,1,0,0.9,0.9,0.1,1,0,70,79,88.6,7,46,3,6,3
Willian Pacho,51,ec ECU,CB,23-126,71,0,0,0,0,0,0,0,0,85,2,0,0,0.0,0.0,0.0,1,1,78,80,97.5,6,55,2,0,0
Presnel Kimpembe,3,fr FRA,CB,29-190,19,0,0,0,0,0,0,0,0,22,1,1,1,0.0,0.0,0.0,0,0,19,19,100.0,0,11,1,0,0
Marquinhos,5,br BRA,CB,30-281,90,0,0,0,0,0,0,0,0,90,1,0,3,0.0,0.0,0.0,1,0,75,80,93.8,8,42,0,1,1
Achraf Hakimi,2,ma MAR,RB,26-107,90,0,1,0,0,0,0,0,0,101,0,0,1,0.0,0.0,0.9,4,1,81,93,87.1,5,60,4,2,0
Gianluigi Donnarumma,1,it ITA,GK,25-360,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,33,34,97.1,0,13,0,0,0